"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
59.6941666247365,60.5232965249013,66.2995849711662,59.4047530559729,59.2760005937428,57.6606996016317,56.9949529564209,54.607137517892,55.4394743877157,59.2588225069344,60.3595102709703,61.6810285942033,75.8405035467316,79.826157497661,79.7219839882746,78.92575683702,78.1560453889276,78.3698650758382,78.9326153326296,78.93221015489,79.6693504886697,80.6554477250891,81.0932742642867,80.8247782465928,80.4745193795666,79.2902658621693,79.8256284318835,81.3709434277441,82.8598664524351,83.6570658231118,83.8075182090685,83.2403723066906,83.5216213993675,84.3904412086449,84.7938379114032,84.6331514434826,84.1944328050059,83.3610574751348,83.3672538050764,80.8636693601919,68.750593462865,58.4575708026488,57.9087734770659,56.201019001695,54.6871933133266,56.6453874119779,58.0909096608817,58.7282028459554,66.0256862644338,76.7203657866722
60.1618565273145,59.6372115769271,60.5064440845983,59.7481854721138,59.6549630578154,59.1494290258479,59.4735180847722,58.5551408307484,56.3489493241817,57.7267808702846,61.991683639652,64.0359925332611,77.2043197854801,80.8949847093717,80.3510039091363,79.2543467378405,79.5903191668524,79.5610817153029,79.7404162643628,79.807338011575,80.5558924638213,81.7527235448828,81.9926402181649,81.5602115894338,80.9558358096986,79.8876164221017,80.591121892892,82.0842152889754,83.5448013130264,84.1475524277324,84.1203506540403,83.4883148819679,83.2598179272697,84.2685246296231,84.7938379114032,84.8343624749687,84.4241479526941,83.6221588176165,82.7333776674861,79.5988121064393,68.1116536791823,58.1042037180766,58.5681270394854,56.4071835837368,54.7533634488316,56.6453874119779,58.0909096608817,58.7282028459554,66.7015662123637,77.414142320597
60.4641407821936,59.7387635773243,60.6819514963031,59.8362112165206,60.152053737833,60.5021599235278,61.6434148736367,61.2740314961789,56.877469849749,54.7850371561796,60.2528546265478,65.3268046714799,78.632565614261,82.6937860952905,82.4523807218031,81.8261212677031,81.3600456586638,81.0252556613951,80.8277088225106,80.9629044007568,81.7200176163296,83.1793780121131,83.1910488123158,82.6891738046038,81.8866936495613,81.0099403320946,81.8120111984107,83.2824769205218,84.5099189456393,84.9773547181808,84.8043336279962,84.0725257558966,83.5582489861186,84.388644410278,85.0594129510351,85.2014357856842,85.0037590604814,84.4334586143876,83.6314803023533,80.8015833064176,68.0332656982769,58.6634886952174,59.1587542074876,56.7967671728483,55.1289905494299,56.7736156810221,58.2388497443803,58.8666443242978,67.496386445919,78.5540900807639
60.6159479694987,60.7526277170622,59.8196576432624,59.7135394525915,60.8177819404502,61.1172925795509,61.5312996587132,60.3641692949291,56.6966541676809,54.7365511770808,58.9015898362955,67.2928432744812,81.996271687506,86.3657751381961,85.7378839856084,85.3714556329223,85.1298172096013,84.8459189065215,84.8401321903846,84.9807097082112,85.4695553840755,86.3052310522493,86.5974823180637,86.3734776587911,85.6386537997497,85.1224318521716,85.7705389274452,87.0177790175321,87.8163875570235,88.2621172676593,87.8842584015781,87.1698955435848,86.8170440552255,87.1734183687228,87.7465687371753,87.986563146728,87.9001528521027,87.7501843547701,87.0320768779416,84.6367300095511,70.6337159165124,61.7162856007566,58.5606367852303,55.7698082040703,54.9553421333949,57.0300722191106,58.5347299113775,59.1178057340516,69.8462979354679,82.8228322750691
60.5986207114535,60.5704881589567,59.3252447095881,59.9591729491833,61.1129329458986,61.067739715597,60.7788026090697,61.0326185597387,60.0185607078574,58.4952458343284,57.4043074379403,68.162875775505,85.7278511067236,90.0371112500971,89.7578226421742,89.5895560668311,89.3054441916287,89.1408462593585,89.3032858031827,89.2981862277635,89.612244793329,89.974626286516,90.4058944168084,90.2543626415119,89.8301881992047,89.3546308333933,89.9630710976325,90.73438820463,91.3093782815276,91.487308448261,91.2272215381766,90.5695224358014,90.2384615841002,90.4767926907862,90.8711634668171,91.0449111287379,90.8693368855766,90.7105906827045,89.435776077165,81.4029936810729,72.7489485680806,70.1821150453083,67.5082512058888,58.0340420112818,54.8085731471693,57.0300722191106,58.5347299113775,59.1178057340516,73.1059394507957,86.3901809707164
60.5257297770561,61.243223279195,62.019378181669,64.0265553784436,61.4237871636353,61.4603813729386,62.0469627921824,65.8652495854549,71.746629869732,66.2185497949037,56.9603301246911,65.4153709179436,85.4557528322388,91.3982632541385,91.2543330451624,90.9957965114804,91.1262902069748,91.0657128889462,90.8518001619353,90.7442881019193,90.8906689504785,91.4004005923669,91.451857316601,91.2637493432126,90.7350125556846,90.561612276821,90.9375493655678,91.5463216461617,92.1406664731148,92.2879606019685,91.9620533684147,91.5326364916069,91.1966749257544,91.3095334171971,91.5349510352067,91.5356764834394,90.9607868437254,82.8799502611051,74.158202119209,70.504360521595,68.641455520463,69.3437167460712,75.6369224363913,75.4019707783734,62.7044202095885,57.7476905492476,59.454035413468,59.0935802464495,74.4652674782236,86.7247463032721
57.4339614589835,61.3889913951947,72.1924919450481,68.4966991995412,62.4688531188607,62.1603462763184,64.3762097192542,75.9566134987887,78.5402814880979,70.6092972224101,60.185599412044,61.4654275790088,80.4999771001795,90.8230313510011,90.8104771029875,90.5359020297578,90.4297882210191,90.6216161510081,90.4900371393571,90.4466917689693,90.485632221753,90.7487644295597,90.9143141761943,90.8874878270631,90.408903126257,90.408903126257,90.6247203406599,91.1009465982551,91.7024741804025,91.8549633485544,91.5500426948783,91.2907371980939,91.1458528738525,91.22803865994,91.3954816309339,91.4483417628348,80.3770169137207,74.6934713681592,71.4448160359301,67.1325801231609,64.0383816038557,67.6454922982673,68.7618230751289,75.7835421694106,74.2046112950383,70.8327469239079,59.0960242614403,59.2668540313399,75.1466155799785,88.4141442299956
55.7740400096872,63.78763530811,75.904331170149,65.1365158175807,63.2568334086768,63.0416702089025,67.4969962397906,76.9684475924466,72.959284616682,70.4935946722311,64.5030894514884,62.510278195617,74.5822383052394,90.0758821159764,90.3466377979711,90.0988655046858,91.0047049138389,91.2417156719168,91.2296337926835,91.4356548508535,91.4275363487284,91.4865521860515,91.8108692145364,91.9055464336599,91.671897110776,91.6951445092443,91.9173187174366,92.2318776332018,92.8093372023067,92.9241957059927,92.7748959681202,92.5830881034214,92.6201307349036,92.6792471247455,92.7730006453683,85.3722271260279,75.1982662456763,72.5048795624487,66.8852230414979,63.0372417361011,68.7245785980672,70.8215399089153,73.0778714934556,72.3463518421745,75.1201676525947,76.1618249507111,66.9290361141329,59.7926325359005,75.8091870686631,90.5759273129699
49.6317429666211,63.8647285901599,70.7908864356948,62.9888821005746,61.868430333929,62.1133909236099,63.4571646706834,66.0128939349134,67.0163134724548,69.9394033524555,66.4339565867394,65.4710627541083,70.230533848401,89.6359186035426,90.8205577453767,89.2557888004767,90.9473351821238,92.5342923770012,92.5573287666952,92.7356221526172,92.8146280673942,92.9523583405804,92.9694748761904,92.9808858999305,92.8656287299789,92.9230596380162,93.2321087080805,93.2888589648557,93.6065850708498,94.0020983656789,93.8668350421077,93.7719110762258,93.939060797283,94.0829858496656,91.7663725781606,74.2862154549684,71.8283943659414,73.7130450370664,72.9991434830624,72.5222432663546,74.1215708741537,75.6526413092486,77.2670361285125,77.6867972582552,74.7781713972872,68.9385854269749,70.523246285214,60.6331041167886,78.8573914899084,91.7934833487602
43.8263000857184,60.430981514024,65.7684824527113,63.952288186969,62.6858374304417,61.3943174908643,61.6023201529512,62.2843802271787,64.458305158333,69.8101479922007,67.5273348348602,67.6652306660768,69.9866516915877,89.0387977747594,91.7779040693238,89.9892357397059,92.8632522569311,94.4976148878164,94.6421065673262,94.8325464109765,94.9133020368086,95.0458846964863,95.0487589581534,95.0506751325982,95.1050727447852,95.0833136999104,95.248645025845,95.3037549398287,95.5556641810716,95.763738170559,95.7629336587485,95.759212692311,95.6833868899968,95.662837609787,87.8517216541766,75.0094501829356,74.3805371741761,72.3133435353886,71.0921128074678,72.3746120182819,75.5446208696574,76.6714070130288,75.076330428799,79.043625029673,73.0855177446571,68.4368277750047,66.173027269491,64.7053816886606,81.3895319075787,93.6330886400437
